,imdbId,Title,IMDB Score,Genre
0,114709,Toy Story (1995),8.3,Animation|Adventure|Comedy
1,113497,Jumanji (1995),6.9,Action|Adventure|Family
3,114885,Waiting to Exhale (1995),5.7,Comedy|Drama|Romance
4,113041,Father of the Bride Part II (1995),5.9,Comedy|Family|Romance
5,113277,Heat (1995),8.2,Action|Crime|Drama
6,114319,Sabrina (1995),6.3,Comedy|Drama
8,114576,Sudden Death (1995),5.7,Action|Crime|Thriller
10,112346,The American President (1995),6.8,Comedy|Drama|Romance
11,112896,Dracula: Dead and Loving It (1995),5.8,Comedy|Fantasy|Horror
12,112453,Balto (1995),7.1,Animation|Adventure|Drama
13,113987,Nixon (1995),7.1,Biography|Drama|History
14,112760,Cutthroat Island (1995),5.6,Action|Adventure|Comedy
15,112641,Casino (1995),8.2,Crime|Drama
16,114388,Sense and Sensibility (1995),7.7,Drama|Romance
17,113101,Four Rooms (1995),6.7,Comedy
18,112281,Ace Ventura: When Nature Calls (1995),6.3,Adventure|Comedy|Crime
19,113845,Money Train (1995),5.6,Action|Comedy|Crime
20,113161,Get Shorty (1995),6.9,Comedy|Crime|Thriller
21,112722,Copycat (1995),6.6,Crime|Drama|Mystery
22,112401,Assassins (1995),6.3,Action|Crime|Thriller
23,114168,Powder (1995),6.5,Drama|Fantasy|Mystery
24,113627,Leaving Las Vegas (1995),7.6,Drama|Romance
26,114011,Now and Then (1995),6.8,Comedy|Drama|Romance
27,114117,Persuasion,7.7,Drama
28,112682,The City of Lost Children (1995),7.7,Fantasy|Sci-Fi
30,112792,Dangerous Minds (1995),6.4,Biography|Drama
31,114746,Twelve Monkeys (1995),8.0,Mystery|Sci-Fi|Thriller
32,114952,Wings of Courage (1995),6.5,Adventure|Romance
33,112431,Babe (1995),6.8,Comedy|Drama|Family
34,112637,Carrington (1995),6.9,Biography|Drama|Romance
35,112818,Dead Man Walking (1995),7.6,Crime|Drama
36,112286,Across the Sea of Time (1995),6.4,Adventure|Drama|Family
37,113442,It Takes Two (1995),5.7,Comedy|Family|Romance
39,112749,"Cry, the Beloved Country (1995)",6.9,Drama|Thriller
40,114279,Richard III (1995),7.5,Drama|War
42,114272,Restoration (1995),6.7,Biography|Drama|History
43,113855,Mortal Kombat (1995),5.8,Action|Adventure|Fantasy
44,114681,To Die For (1995),6.8,Comedy|Crime|Drama
46,114369,Se7en (1995),8.6,Crime|Drama|Mystery
47,114148,Pocahontas (1995),6.7,Animation|Adventure|Drama
48,114916,When Night Is Falling (1995),6.7,Drama|Romance
51,113819,Mighty Aphrodite (1995),7.1,Comedy|Fantasy|Romance
54,113158,Georgia (1995),6.5,Drama|Music
55,113541,Kids of the Round Table (1995),5.0,Adventure|Comedy|Family
56,113321,Home for the Holidays (1995),6.6,Comedy|Drama|Romance
57,110877,Il Postino: The Postman (1994),7.7,Biography|Comedy|Drama
58,112714,Le confessionnal (1995),7.6,Drama|Mystery|Thriller
59,113419,The Indian in the Cupboard (1995),5.9,Drama|Family|Fantasy
60,116260,Eye for an Eye (1996),6.1,Crime|Drama|Thriller
61,113862,Mr. Holland's Opus (1995),7.3,Drama|Music
62,116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),6.6,Comedy|Crime
64,115683,Bio-Dome (1996),4.4,Comedy
65,116839,Lawnmower Man 2: Beyond Cyberspace (1996),2.4,Action|Sci-Fi|Thriller
66,114753,Two Bits (1995),6.3,Drama
68,113118,Friday (1995),7.3,Comedy|Drama
69,116367,From Dusk Till Dawn (1996),7.3,Action|Crime|Horror
72,113828,Les misí©rables (1995),7.5,Drama|History
73,115644,Bed of Roses (1996),6.1,Romance|Drama
74,115676,Big Bully (1996),4.5,Comedy|Thriller
75,114367,Screamers (1995),6.4,Sci-Fi|Thriller
76,113973,Nico Icon (1995),7.3,Documentary|Biography|Music
77,112744,The Crossing Guard (1995),6.3,Drama|Thriller
78,116731,The Juror (1996),5.6,Drama|Thriller
79,112445,The White Balloon (1995),7.8,Drama|Family
80,114660,Things to Do in Denver When You're Dead (1995),6.8,Crime|Drama
81,112379,Antonia's Line (1995),7.5,Comedy|Drama
82,114039,Once Upon a Time... When We Were Colored (1995),7.2,Drama|Romance
83,113612,Last Summer in the Hamptons (1995),6.1,Comedy|Drama
84,112365,Angels and Insects (1995),7.0,Drama|Romance
85,118158,White Squall (1996),6.6,Adventure|Drama
86,116151,Dunston Checks In (1996),5.3,Comedy|Adventure|Family
87,115697,Black Sheep (1996),6.2,Comedy
88,113972,Nick of Time (1995),6.3,Action|Crime|Drama
89,113490,The Journey of August King (1995),6.6,Drama
91,114825,Vampire in Brooklyn (1995),4.5,Comedy|Fantasy|Horror
92,115639,Beautiful Girls (1996),7.2,Comedy|Drama|Romance
93,115759,Broken Arrow (1996),6.0,Action|Crime|Thriller
94,113403,A Midwinter's Tale (1995),7.3,Comedy
96,111173,Shopping (1994),5.4,Action|Crime|Drama
97,113283,Heidi Fleiss: Hollywood Madam (1995),6.6,Documentary|Biography
98,115907,City Hall (1996),6.2,Drama
100,117102,Mr. Wrong (1996),3.8,Comedy
101,118040,Unforgettable (1996),6.0,Drama|Mystery|Sci-Fi
104,110251,Nobody Loves Me (1994),7.3,Comedy|Drama
105,117110,Muppet Treasure Island (1996),6.9,Action|Adventure|Comedy
106,112646,Catwalk (1995),6.4,Documentary
107,113276,Headless Body in Topless Bar (1995),4.7,Comedy|Crime|Drama
108,112573,Braveheart (1995),8.4,Biography|Drama|History
110,113326,Rumble in the Bronx (1995),6.7,Action|Comedy|Crime
111,115645,Before and After (1996),6.1,Crime|Drama|Mystery
112,113774,Margaret's Museum (1995),7.3,Drama
113,112556,Happiness Is in the Field (1995),7.0,Comedy
115,115033,The Young Poisoner's Handbook (1995),7.1,Crime|Drama
117,114536,Steal Big Steal Little (1995),4.8,Comedy
118,117427,Race the Sun (1996),5.3,Adventure|Comedy|Drama
119,106473,The Boys of St. Vincent (1992),7.7,Drama
